Код_ISO_субъекта,Субъект_РФ,Место_в_регионе,Профессиональная_группа,Сложность_поиска_работы_в_группе_1_10,Индекс_при_других_настройках_min,Индекс_при_других_настройках_max,Лучшее_место_при_других_настройках,Худшее_место_при_других_настройках,Потребность_в_общем_числе_рабочих_мест_pct,Требуется_работников_человек,Списочная_численность_работников_человек,Требуется_на_10_тыс_рабочей_силы,Эквивалент_вакансий_с_учетом_оплаты,Оценочная_зарплата_группы_2025_руб,Оценочный_зарплатный_запас_группы_2025_руб,Средняя_зарплата_группы_по_РФ_2025_руб,Привлекательность_зарплаты_1_10,Вес_качества_оплаты_0_1,Медианная_зарплата_региона_2025_руб,Прожиточный_минимум_трудоспособных_2025_руб,Лог_отношение_доли_занятых_к_доле_вакансий,Kappa_метод_моментов,Оценка_межрегиональной_дисперсии,Робастный_z_доли_вакансий,Статус_наблюдения,Структурный_ноль_локального_рынка,Размер_группы_к_медианной_группе_региона,Сложность_трудоустройства_в_регионе_1_10,Скорректированная_доля_вакансий_pct,Доля_вакансий_с_учетом_оплаты_pct,Вес_региональных_данных_pct,Доля_группы_среди_занятых_pct,Доля_группы_среди_вакансий_pct
RU-AMU,Амурская область,8,"Промышленность, строительство и транспорт",3.81,3.73,3.89,8,8,7.63,2725.45,32976.88,66.67,2725.45,87100.31796993178,64872.317969931784,98120.0,8.38,1.0,86265.0,22228.0,-0.10664609657174189,52.95679822120663,0.0017222836868633143,-0.61,Устойчивая база,False,1.8450906043103557,3.85,7.63,7.63,99.9,19.37,21.55
RU-AMU,Амурская область,9,Сельское и лесное хозяйство,1.86,1.78,1.95,9,9,17.87,159.58,733.22,3.9,113.87967997201042,61560.53761615163,39332.53761615163,69349.0,6.01,0.7136212556210704,86265.0,22228.0,-0.8061511060935715,8.672962346589573,0.01170183158124693,0.9,"Малый локальный рынок, но спрос наблюдается — строка сохранена со сглаживанием",False,0.041024418710697896,3.85,15.08,10.76,42.7,0.43,1.26
RU-ARK,Архангельская область,1,Руководители,8.78,8.66,8.89,1,1,2.66,500.21,18274.76,10.97,500.21,138651.57070972124,116230.57070972124,177990.0,9.66,1.0,75701.0,22421.0,0.5783037641546271,146.16402115495765,0.0002852555978408675,-0.89,Устойчивая база,False,0.7984020390429185,6.77,2.67,2.67,99.2,7.8,4.37
RU-ARK,Архангельская область,2,Неквалифицированные рабочие,8.43,8.17,8.69,2,2,3.77,896.48,22889.17,19.65,480.3200707971887,40559.42093456405,18138.42093456405,52067.0,2.5,0.5357844801860484,75701.0,22421.0,0.21838503132770518,70.670421472643,0.0011936050185097405,-1.36,Устойчивая база,False,1.0,6.77,3.79,2.03,99.7,9.77,7.84
RU-ARK,Архангельская область,3,Офисные и учётные служащие,7.11,6.85,7.39,3,3,4.9,449.93,8732.14,9.86,300.3792850307165,50538.99996912913,28117.99996912913,64878.0,4.33,0.6676133732596549,75701.0,22421.0,-0.052818308557425406,101.86360214376505,0.0006524156213050596,-0.76,Устойчивая база,False,0.3814965767653436,6.77,4.93,3.29,98.9,3.73,3.93
RU-ARK,Архангельская область,4,Специалисты высшей квалификации,6.82,6.77,6.9,4,5,4.17,2579.48,59211.63,56.55,2579.48,80233.91471408431,57812.91471408431,102998.0,8.12,1.0,75701.0,22421.0,0.11401907068461503,144.61887250545854,0.00038278707116992195,-0.98,Устойчивая база,False,2.5868841028311644,6.77,4.17,4.17,99.8,25.27,22.55
RU-ARK,Архангельская область,5,Специалисты средней квалификации,6.74,6.61,6.86,5,6,4.55,1243.2,26065.02,27.25,1096.631889605779,66776.16688790788,44355.16688790788,85722.0,6.79,0.8821041583058068,75701.0,22421.0,0.023402318119998832,103.46780906003967,0.000599737808997421,-0.81,Устойчивая база,False,1.1387490241017915,6.77,4.56,4.02,99.6,11.12,10.87
RU-ARK,Архангельская область,6,"Обслуживание, торговля и охрана",6.73,6.43,7.03,4,6,5.59,1281.35,21626.21,28.09,784.7459492277137,46362.081478508735,23941.081478508735,59516.0,3.69,0.6124368433509297,75701.0,22421.0,-0.1931702685789482,111.62161988428772,0.0006390395513437586,-0.21,Устойчивая база,False,0.9448228135838914,6.77,5.6,3.43,99.5,9.23,11.2
RU-ARK,Архангельская область,7,"Операторы машин, сборщики и водители",5.55,5.53,5.56,7,7,5.12,2053.93,38055.3,45.03,2053.93,76279.00699739654,53858.006997396544,97921.0,7.79,1.0,75701.0,22421.0,-0.10075895179180114,119.67320227989055,0.0006663313462581509,-1.39,Устойчивая база,False,1.662589774989657,6.77,5.13,5.13,99.7,16.24,17.96
RU-ARK,Архангельская область,8,"Промышленность, строительство и транспорт",4.85,4.84,4.87,8,8,5.8,2355.99,38250.86,51.65,2355.99,76434.02504656356,54013.02504656356,98120.0,7.83,1.0,75701.0,22421.0,-0.2327863786321983,52.95679822120663,0.0017222836868633143,-1.45,Устойчивая база,False,1.6711335535539298,6.77,5.81,5.81,99.9,16.32,20.6
RU-ARK,Архангельская область,9,Сельское и лесное хозяйство,4.01,3.98,4.06,9,9,5.9,76.5,1220.78,1.68,54.592026055011885,54021.842671770646,31600.842671770646,69349.0,4.85,0.7136212556210704,75701.0,22421.0,-0.4435653743694877,8.672962346589573,0.01170183158124693,-0.89,Средняя база — умеренное сглаживание,False,0.05333439351448742,6.77,9.33,6.66,51.8,0.52,0.67
